"","thread_post","user","date_proc","image","postnum","quote","join_date","likes","nonquote_image"
"1119","#33189","noob in 89","Feb 21, 2018 at 4:58 AM",0,9218162,0,"Dec 28, 2010",NA,0
"1120","#33190","penanceroyaltea","Feb 21, 2018 at 5:11 AM",1,9218167,1,"Jan 27, 2012",3,0
"1121","#33191","Hugo Slime","Feb 21, 2018 at 5:51 AM",1,9218196,0,"Jan 3, 2018",1,1
"1122","#33192","beepbop","Feb 21, 2018 at 6:28 AM",1,9218225,0,"Aug 11, 2014",28,1
"1123","#33193","kindofyoung","Feb 21, 2018 at 1:33 PM",0,9218838,0,"Jan 30, 2012",16,0
"1124","#33194","nahneun","Feb 21, 2018 at 1:36 PM",0,9218842,0,"Feb 25, 2009",6,0
"1125","#33195","Clouseau","Feb 21, 2018 at 1:46 PM",0,9218858,0,"May 18, 2013",NA,0
"1126","#33196","e0d9n0b5","Feb 21, 2018 at 2:31 PM",1,9218907,0,"May 21, 2010",2,1
"1127","#33197","WBaker","Feb 21, 2018 at 2:57 PM",0,9218937,0,"Jan 5, 2010",36,0
"1128","#33198","gettoasty","Feb 21, 2018 at 2:58 PM",1,9218938,0,"Feb 8, 2010",2,1
"1129","#33199","metranger8694","Feb 21, 2018 at 6:49 PM",0,9219236,0,"Aug 1, 2014",NA,0
"1130","#33200","penanceroyaltea","Feb 21, 2018 at 6:58 PM",0,9219245,1,"Jan 27, 2012",NA,-1
"1131","#33201","metranger8694","Feb 21, 2018 at 7:01 PM",0,9219248,0,"Aug 1, 2014",NA,0
"1132","#33202","baltimoron","Feb 21, 2018 at 7:03 PM",0,9219254,1,"Jan 14, 2012",NA,-1
"1133","#33203","metranger8694","Feb 21, 2018 at 7:05 PM",0,9219257,1,"Aug 1, 2014",NA,-1
"1134","#33204","hendrix","Feb 21, 2018 at 7:08 PM",0,9219261,0,"Apr 19, 2009",NA,0
"1135","#33205","penanceroyaltea","Feb 21, 2018 at 8:06 PM",0,9219312,1,"Jan 27, 2012",3,-1
"1136","#33206","hendrix","Feb 21, 2018 at 8:41 PM",0,9219361,0,"Apr 19, 2009",3,0
"1137","#33207","cocostella","Feb 21, 2018 at 9:19 PM",1,9219383,0,"May 9, 2007",NA,1
"1138","#33208","hendrix","Feb 21, 2018 at 9:21 PM",1,9219385,0,"Apr 19, 2009",22,1
"1139","#33209","kbadgley84","Feb 21, 2018 at 9:53 PM",1,9219413,0,"Feb 3, 2014",NA,1
"1140","#33210","Gerry Nelson","Feb 21, 2018 at 11:06 PM",0,9219466,0,"Oct 16, 2011",28,0
"1141","#33211","metranger8694","Feb 22, 2018 at 2:38 AM",0,9219602,0,"Aug 1, 2014",1,0
"1142","#33212","Purplelabel","Feb 22, 2018 at 2:51 AM",0,9219610,1,"Jan 18, 2014",3,-1
"1143","#33213","Gerry Nelson","Feb 22, 2018 at 2:53 AM",0,9219612,1,"Oct 16, 2011",NA,-1
"1144","#33214","Purplelabel","Feb 22, 2018 at 3:25 AM",0,9219625,1,"Jan 18, 2014",1,-1
"1145","#33215","Gerry Nelson","Feb 22, 2018 at 3:26 AM",1,9219626,1,"Oct 16, 2011",NA,0
"1146","#33216","stevenkmason","Feb 22, 2018 at 6:35 AM",0,9219761,1,"Aug 27, 2012",3,-1
"1147","#33217","oulipien","Feb 22, 2018 at 7:11 AM",1,9219806,0,"Dec 29, 2015",3,1
"1148","#33218","zissou","Feb 22, 2018 at 9:18 AM",1,9219946,0,"Aug 15, 2008",51,1
"1149","#33219","metranger8694","Feb 22, 2018 at 9:59 AM",0,9220043,0,"Aug 1, 2014",19,0
"1150","#33220","FrankCowperwood","Feb 22, 2018 at 10:03 AM",0,9220052,1,"May 23, 2011",2,-1
"1151","#33221","metranger8694","Feb 22, 2018 at 10:09 AM",1,9220059,0,"Aug 1, 2014",1,1
"1152","#33222","Hugo Slime","Feb 22, 2018 at 10:20 AM",1,9220075,0,"Jan 3, 2018",15,1
"1153","#33223","giand","Feb 22, 2018 at 10:46 AM",0,9220125,1,"Jul 11, 2017",36,-1
"1154","#33224","Gerry Nelson","Feb 22, 2018 at 11:06 AM",0,9220158,1,"Oct 16, 2011",NA,-1
"1155","#33225","e0d9n0b5","Feb 22, 2018 at 11:13 AM",0,9220173,0,"May 21, 2010",3,0
"1156","#33226","FrankCowperwood","Feb 22, 2018 at 11:21 AM",0,9220180,0,"May 23, 2011",63,0
"1157","#33227","1up","Feb 22, 2018 at 11:36 AM",0,9220195,0,"Oct 14, 2008",4,0
"1158","#33228","Spehsmonkey","Feb 22, 2018 at 1:57 PM",0,9220394,1,"Apr 21, 2014",5,-1
"1159","#33229","FrankCowperwood","Feb 22, 2018 at 2:23 PM",0,9220415,1,"May 23, 2011",NA,-1
"1160","#33230","Benesyed","Feb 22, 2018 at 3:15 PM",0,9220478,0,"Aug 9, 2010",NA,0
"1161","#33231","hendrix","Feb 22, 2018 at 3:21 PM",0,9220491,0,"Apr 19, 2009",1,0
"1162","#33232","FrankCowperwood","Feb 22, 2018 at 3:31 PM",0,9220503,0,"May 23, 2011",NA,0
"1163","#33233","Spehsmonkey","Feb 22, 2018 at 3:46 PM",0,9220517,1,"Apr 21, 2014",NA,-1
"1164","#33234","Zamb","Feb 22, 2018 at 3:49 PM",0,9220521,1,"May 9, 2013",NA,-1
"1165","#33235","santaclara","Feb 22, 2018 at 4:17 PM",1,9220544,0,"Jul 21, 2014",1,1
"1166","#33236","RegisDB9","Feb 22, 2018 at 5:00 PM",0,9220619,0,"Oct 15, 2010",26,0
"1167","#33237","FrankCowperwood","Feb 22, 2018 at 5:08 PM",1,9220634,0,"May 23, 2011",1,1
"1168","#33238","sipang","Feb 22, 2018 at 5:28 PM",1,9220663,1,"Jan 12, 2009",1,0
"1169","#33239","RegisDB9","Feb 22, 2018 at 5:59 PM",0,9220726,1,"Oct 15, 2010",NA,-1
"1170","#33240","etostano","Feb 22, 2018 at 6:01 PM",0,9220733,0,"Feb 18, 2013",1,0
"1171","#33241","hendrix","Feb 22, 2018 at 6:34 PM",0,9220804,1,"Apr 19, 2009",2,-1
"1172","#33242","sipang","Feb 22, 2018 at 6:37 PM",1,9220809,0,"Jan 12, 2009",NA,1
"1173","#33243","Citaro","Feb 22, 2018 at 6:52 PM",0,9220835,0,"Mar 14, 2017",19,0
"1174","#33244","Benesyed","Feb 22, 2018 at 7:21 PM",1,9220870,1,"Aug 9, 2010",NA,0
"1175","#33245","RegisDB9","Feb 22, 2018 at 8:47 PM",1,9220937,0,"Oct 15, 2010",6,1
"1176","#33246","Hugo Slime","Feb 23, 2018 at 4:30 AM",0,9221289,0,"Jan 3, 2018",5,0
"1177","#33247","Benesyed","Feb 23, 2018 at 5:16 AM",0,9221318,1,"Aug 9, 2010",1,-1
"1178","#33248","Citaro","Feb 23, 2018 at 5:27 AM",0,9221328,0,"Mar 14, 2017",2,0
"1179","#33249","in stitches","Feb 23, 2018 at 7:27 AM",0,9221429,0,"Oct 10, 2010",7,0
"1180","#33250","Hugo Slime","Feb 23, 2018 at 7:34 AM",1,9221433,0,"Jan 3, 2018",1,1
"1181","#33251","Wham SIce","Feb 23, 2018 at 9:19 AM",0,9221590,0,"May 27, 2017",4,0
"1182","#33252","nahneun","Feb 23, 2018 at 9:44 AM",0,9221627,0,"Feb 25, 2009",5,0
"1183","#33253","sugarbutch","Feb 23, 2018 at 11:35 AM",1,9221833,0,"Dec 10, 2010",4,1
"1184","#33254","WBaker","Feb 23, 2018 at 11:42 AM",1,9221844,0,"Jan 5, 2010",27,1
"1185","#33255","hendrix","Feb 23, 2018 at 12:56 PM",0,9221953,0,"Apr 19, 2009",12,0
"1186","#33256","FrankCowperwood","Feb 23, 2018 at 1:25 PM",1,9222001,0,"May 23, 2011",2,1
"1187","#33257","WBaker","Feb 23, 2018 at 4:15 PM",1,9222170,0,"Jan 5, 2010",22,1
"1188","#33258","Guess who","Feb 23, 2018 at 4:18 PM",1,9222176,0,"Jul 15, 2009",5,1
"1189","#33259","McNar","Feb 23, 2018 at 5:43 PM",0,9222285,0,"Oct 21, 2017",71,0
"1190","#33260","gettoasty","Feb 23, 2018 at 6:56 PM",0,9222384,0,"Feb 8, 2010",1,0
"1191","#33261","UrbanComposition","Feb 23, 2018 at 8:25 PM",0,9222490,0,"Aug 6, 2010",4,0
"1192","#33262","zissou","Feb 23, 2018 at 9:11 PM",0,9222539,0,"Aug 15, 2008",1,0
"1193","#33263","snowmanxl","Feb 24, 2018 at 12:22 AM",0,9222633,0,"Mar 18, 2010",2,0
"1194","#33264","robinsongreen68","Feb 24, 2018 at 1:25 AM",1,9222653,0,"Sep 25, 2006",NA,1
"1195","#33265","Purplelabel","Feb 24, 2018 at 1:36 AM",0,9222660,0,"Jan 18, 2014",6,0
"1196","#33266","Slin","Feb 24, 2018 at 4:46 AM",0,9222730,1,"Oct 23, 2013",1,-1
"1197","#33267","McNar","Feb 24, 2018 at 7:52 AM",0,9222871,1,"Oct 21, 2017",NA,-1
"1198","#33268","FrankCowperwood","Feb 24, 2018 at 8:38 AM",0,9222936,1,"May 23, 2011",1,-1
"1199","#33269","zissou","Feb 24, 2018 at 8:47 AM",1,9222951,0,"Aug 15, 2008",1,1
"1200","#33270","Benesyed","Feb 24, 2018 at 8:01 PM",0,9223683,0,"Aug 9, 2010",8,0
"1201","#33271","metranger8694","Feb 24, 2018 at 8:04 PM",0,9223690,1,"Aug 1, 2014",1,-1
"1202","#33272","Benesyed","Feb 24, 2018 at 8:06 PM",0,9223696,1,"Aug 9, 2010",NA,-1
"1203","#33273","Benesyed","Feb 24, 2018 at 8:18 PM",0,9223712,1,"Aug 9, 2010",1,-1
"1204","#33274","metranger8694","Feb 24, 2018 at 9:53 PM",0,9223770,0,"Aug 1, 2014",1,0
"1205","#33275","WBaker","Feb 25, 2018 at 12:43 AM",1,9223833,0,"Jan 5, 2010",1,1
"1206","#33276","Les Cactus","Feb 25, 2018 at 12:50 AM",0,9223837,0,"Feb 15, 2018",11,0
"1207","#33277","MrUnderwood","Feb 25, 2018 at 4:24 AM",0,9223893,0,"May 28, 2017",NA,0
"1208","#33278","ghdvfddzgzdzg","Feb 25, 2018 at 4:45 AM",0,9223908,0,"May 3, 2010",NA,0
"1209","#33279","FrankCowperwood","Feb 25, 2018 at 7:51 AM",0,9224026,0,"May 23, 2011",5,0
"1210","#33280","Spehsmonkey","Feb 25, 2018 at 11:59 AM",1,9224307,0,"Apr 21, 2014",4,1
"1211","#33281","WBaker","Feb 25, 2018 at 1:22 PM",1,9224418,1,"Jan 5, 2010",12,0
"1212","#33282","RegisDB9","Feb 25, 2018 at 6:40 PM",0,9224782,0,"Oct 15, 2010",7,0
"1213","#33283","UrbanComposition","Feb 25, 2018 at 7:06 PM",0,9224812,1,"Aug 6, 2010",NA,-1
"1214","#33284","Man with Apple","Feb 25, 2018 at 7:22 PM",1,9224828,0,"Nov 3, 2010",NA,1
"1215","#33285","hendrix","Feb 25, 2018 at 7:36 PM",0,9224845,0,"Apr 19, 2009",9,0
"1216","#33286","metranger8694","Feb 25, 2018 at 7:59 PM",0,9224869,1,"Aug 1, 2014",NA,-1
"1217","#33287","RegisDB9","Feb 25, 2018 at 8:03 PM",0,9224872,0,"Oct 15, 2010",1,0
"1218","#33288","WBaker","Feb 25, 2018 at 8:51 PM",0,9224904,0,"Jan 5, 2010",1,0
"1219","#33289","Spehsmonkey","Feb 25, 2018 at 8:53 PM",0,9224906,0,"Apr 21, 2014",4,0
"1220","#33290","WBaker","Feb 25, 2018 at 9:00 PM",0,9224911,0,"Jan 5, 2010",1,0
"1221","#33291","Spehsmonkey","Feb 25, 2018 at 10:11 PM",0,9224963,0,"Apr 21, 2014",3,0
"1222","#33292","double00","Feb 25, 2018 at 10:20 PM",0,9224980,0,"Nov 24, 2014",NA,0
"1223","#33293","WBaker","Feb 25, 2018 at 10:29 PM",1,9224996,1,"Jan 5, 2010",NA,0
"1224","#33294","skeen7908","Feb 25, 2018 at 10:43 PM",0,9225014,1,"Jan 15, 2010",NA,-1
"1225","#33295","hendrix","Feb 25, 2018 at 11:12 PM",1,9225049,0,"Apr 19, 2009",NA,1
"1226","#33296","Superb0bo","Feb 26, 2018 at 1:29 AM",1,9225169,0,"Jan 3, 2007",38,1
"1227","#33297","penanceroyaltea","Feb 26, 2018 at 4:18 AM",0,9225251,0,"Jan 27, 2012",58,0
"1228","#33298","flipstah","Feb 26, 2018 at 5:57 AM",0,9225349,0,"Oct 31, 2017",1,0
"1229","#33299","nahneun","Feb 26, 2018 at 6:25 AM",1,9225376,0,"Feb 25, 2009",6,1
"1230","#33300","IEG","Feb 26, 2018 at 7:58 AM",0,9225467,0,"Jan 11, 2018",9,0
"1231","#33301","IEG","Feb 26, 2018 at 7:59 AM",0,9225470,0,"Jan 11, 2018",4,0
"1232","#33302","robinsongreen68","Feb 26, 2018 at 8:05 AM",0,9225477,1,"Sep 25, 2006",4,-1
"1233","#33303","IEG","Feb 26, 2018 at 8:09 AM",0,9225487,1,"Jan 11, 2018",NA,-1
"1234","#33304","Thrift Vader","Feb 26, 2018 at 8:25 AM",1,9225518,0,"Sep 27, 2014",1,1
"1235","#33305","IEG","Feb 26, 2018 at 8:31 AM",0,9225529,0,"Jan 11, 2018",9,0
"1236","#33306","nahneun","Feb 26, 2018 at 8:35 AM",0,9225535,1,"Feb 25, 2009",2,-1
"1237","#33307","IEG","Feb 26, 2018 at 8:42 AM",0,9225544,0,"Jan 11, 2018",NA,0
"1238","#33308","ethanm","Feb 26, 2018 at 8:59 AM",0,9225570,1,"Oct 22, 2011",2,-1
"1239","#33309","IEG","Feb 26, 2018 at 9:05 AM",0,9225581,1,"Jan 11, 2018",1,-1
"1240","#33310","notwithit","Feb 26, 2018 at 9:08 AM",0,9225590,1,"Mar 2, 2010",NA,-1
"1241","#33311","nahneun","Feb 26, 2018 at 9:26 AM",0,9225618,1,"Feb 25, 2009",3,-1
"1242","#33312","Thrift Vader","Feb 26, 2018 at 9:32 AM",0,9225625,1,"Sep 27, 2014",1,-1
"1243","#33313","IEG","Feb 26, 2018 at 9:36 AM",0,9225631,1,"Jan 11, 2018",1,-1
"1244","#33314","santaclara","Feb 26, 2018 at 9:36 AM",0,9225632,0,"Jul 21, 2014",1,0
"1245","#33315","Dirt","Feb 26, 2018 at 9:47 AM",0,9225649,0,"Mar 2, 2016",1,0
"1246","#33316","nahneun","Feb 26, 2018 at 9:54 AM",0,9225659,1,"Feb 25, 2009",1,-1
"1247","#33317","Thrift Vader","Feb 26, 2018 at 10:05 AM",0,9225669,0,"Sep 27, 2014",1,0
"1248","#33318","kashmir","Feb 26, 2018 at 10:05 AM",0,9225671,1,"Oct 5, 2010",3,-1
"1249","#33319","IEG","Feb 26, 2018 at 10:07 AM",0,9225673,1,"Jan 11, 2018",1,-1
"1250","#33320","IEG","Feb 26, 2018 at 10:08 AM",0,9225675,1,"Jan 11, 2018",NA,-1
"1251","#33321","kashmir","Feb 26, 2018 at 10:10 AM",0,9225679,0,"Oct 5, 2010",1,0
"1252","#33322","canstyleace","Feb 26, 2018 at 10:36 AM",0,9225709,1,"Apr 27, 2009",NA,-1
"1253","#33323","Dirt","Feb 26, 2018 at 12:12 PM",1,9225816,0,"Mar 2, 2016",3,1
"1254","#33324","colabear","Feb 26, 2018 at 1:17 PM",0,9225890,1,"Nov 22, 2010",10,-1
"1255","#33325","in stitches","Feb 26, 2018 at 1:31 PM",1,9225908,0,"Oct 10, 2010",38,1
"1256","#33326","KamoteJoe","Feb 26, 2018 at 2:25 PM",1,9225986,0,"Jul 19, 2013",31,1
"1257","#33327","RegisDB9","Feb 26, 2018 at 5:23 PM",0,9226200,0,"Oct 15, 2010",20,0
"1258","#33328","FrankCowperwood","Feb 26, 2018 at 5:38 PM",1,9226213,0,"May 23, 2011",9,1
"1259","#33329","falgfalg","Feb 26, 2018 at 6:20 PM",1,9226266,0,"Sep 9, 2015",18,1
"1260","#33330","Benesyed","Feb 26, 2018 at 7:10 PM",0,9226319,0,"Aug 9, 2010",3,0
"1261","#33331","cyc wid it","Feb 26, 2018 at 9:13 PM",1,9226447,0,"Apr 2, 2011",8,1
"1262","#33332","IEG","Feb 27, 2018 at 4:03 AM",1,9226731,0,"Jan 11, 2018",NA,1
"1263","#33333","penanceroyaltea","Feb 27, 2018 at 4:16 AM",0,9226740,1,"Jan 27, 2012",84,-1
"1264","#33334","#dadcore","Feb 27, 2018 at 4:55 AM",0,9226790,0,"Apr 22, 2017",1,0
"1265","#33335","flipstah","Feb 27, 2018 at 5:53 AM",1,9226828,0,"Oct 31, 2017",1,1
"1266","#33336","baltimoron","Feb 27, 2018 at 6:55 AM",1,9226907,0,"Jan 14, 2012",42,1
"1267","#33337","beepbop","Feb 27, 2018 at 7:14 AM",0,9226923,0,"Aug 11, 2014",28,0
"1268","#33338","Slin","Feb 27, 2018 at 7:14 AM",0,9226924,1,"Oct 23, 2013",NA,-1
"1269","#33339","nahneun","Feb 27, 2018 at 7:16 AM",1,9226925,0,"Feb 25, 2009",NA,1
"1270","#33340","sssuhr","Feb 27, 2018 at 8:15 AM",1,9227003,0,"Mar 22, 2017",41,1
"1271","#33341","Darkside","Feb 27, 2018 at 8:19 AM",0,9227011,1,"Jan 14, 2014",26,-1
"1272","#33342","Blake Stitched Blues","Feb 27, 2018 at 12:30 PM",1,9227424,0,"Jul 30, 2016",NA,1
"1273","#33343","giand","Feb 27, 2018 at 1:12 PM",1,9227489,0,"Jul 11, 2017",37,1
"1274","#33344","notwithit","Feb 27, 2018 at 1:34 PM",1,9227520,0,"Mar 2, 2010",14,1
"1275","#33345","zissou","Feb 27, 2018 at 5:29 PM",0,9227895,0,"Aug 15, 2008",16,0
"1276","#33346","gettoasty","Feb 27, 2018 at 5:53 PM",1,9227925,1,"Feb 8, 2010",12,0
"1277","#33347","noob in 89","Feb 27, 2018 at 7:34 PM",1,9228069,0,"Dec 28, 2010",1,1
"1278","#33348","bleakhaven","Feb 27, 2018 at 10:17 PM",0,9228369,0,"Feb 27, 2018",15,0
"1279","#33349","jet","Feb 27, 2018 at 10:42 PM",1,9228427,0,"Jun 9, 2006",18,1
"1280","#33350","WBaker","Feb 27, 2018 at 10:47 PM",0,9228450,0,"Jan 5, 2010",8,0
"1281","#33351","gettoasty","Feb 28, 2018 at 12:09 AM",0,9228618,0,"Feb 8, 2010",NA,0
"1282","#33352","WBaker","Feb 28, 2018 at 12:25 AM",1,9228631,0,"Jan 5, 2010",NA,1
"1283","#33353","penanceroyaltea","Feb 28, 2018 at 1:21 AM",0,9228737,0,"Jan 27, 2012",48,0
"1284","#33354","cocostella","Feb 28, 2018 at 2:10 AM",0,9228807,0,"May 9, 2007",2,0
"1285","#33355","kashmir","Feb 28, 2018 at 2:54 AM",0,9228829,0,"Oct 5, 2010",NA,0
"1286","#33356","penanceroyaltea","Feb 28, 2018 at 3:07 AM",1,9228835,1,"Jan 27, 2012",1,0
"1287","#33357","diniro","Feb 28, 2018 at 3:34 AM",0,9228847,0,"Mar 30, 2011",11,0
"1288","#33358","JSAN","Feb 28, 2018 at 3:58 AM",1,9228863,0,"Aug 13, 2012",NA,1
"1289","#33359","IEG","Feb 28, 2018 at 5:38 AM",1,9228937,1,"Jan 11, 2018",NA,0
"1290","#33360","nahneun","Feb 28, 2018 at 6:42 AM",0,9229001,0,"Feb 25, 2009",NA,0
"1291","#33361","g transistor","Feb 28, 2018 at 7:08 AM",1,9229032,0,"Jun 1, 2009",5,1
"1292","#33362","KamoteJoe","Feb 28, 2018 at 8:29 AM",1,9229140,0,"Jul 19, 2013",35,1
"1293","#33363","giand","Feb 28, 2018 at 8:31 AM",1,9229142,0,"Jul 11, 2017",30,1
"1294","#33364","notwithit","Feb 28, 2018 at 10:50 AM",0,9229330,0,"Mar 2, 2010",15,0
"1295","#33365","Spehsmonkey","Feb 28, 2018 at 12:05 PM",1,9229418,0,"Apr 21, 2014",1,1
"1296","#33366","RegisDB9","Feb 28, 2018 at 2:49 PM",1,9229618,0,"Oct 15, 2010",15,1
"1297","#33367","stevenkmason","Feb 28, 2018 at 3:05 PM",0,9229635,0,"Aug 27, 2012",1,0
"1298","#33368","ShoutOutsFoMyBo","Feb 28, 2018 at 3:37 PM",0,9229662,1,"May 13, 2012",1,-1
"1299","#33369","stevenkmason","Feb 28, 2018 at 3:42 PM",1,9229669,0,"Aug 27, 2012",NA,1
"1300","#33370","thefoxtooth","Feb 28, 2018 at 3:50 PM",0,9229680,0,"Jan 3, 2013",29,0
"1301","#33371","diniro","Feb 28, 2018 at 4:09 PM",1,9229704,0,"Mar 30, 2011",20,1
"1302","#33372","Dirt","Feb 28, 2018 at 4:54 PM",0,9229772,0,"Mar 2, 2016",35,0
"1303","#33373","justridiculous","Feb 28, 2018 at 5:05 PM",1,9229795,0,"Jan 16, 2015",4,1
"1304","#33374","Numbernine","Feb 28, 2018 at 5:24 PM",0,9229823,0,"Jan 12, 2013",12,0
"1305","#33375","Dirt","Feb 28, 2018 at 5:29 PM",0,9229831,0,"Mar 2, 2016",5,0
"1306","#33376","colabear","Feb 28, 2018 at 5:32 PM",0,9229835,1,"Nov 22, 2010",3,-1
"1307","#33377","thefoxtooth","Feb 28, 2018 at 5:40 PM",0,9229855,0,"Jan 3, 2013",NA,0
"1308","#33378","thefoxtooth","Feb 28, 2018 at 5:45 PM",0,9229863,0,"Jan 3, 2013",1,0
"1309","#33379","double00","Feb 28, 2018 at 5:55 PM",0,9229869,1,"Nov 24, 2014",NA,-1
"1310","#33380","UrbanComposition","Feb 28, 2018 at 6:12 PM",1,9229913,0,"Aug 6, 2010",3,1
"1311","#33381","falgfalg","Feb 28, 2018 at 7:05 PM",0,9230000,1,"Sep 9, 2015",16,-1
"1312","#33382","thefoxtooth","Feb 28, 2018 at 7:20 PM",0,9230027,1,"Jan 3, 2013",2,-1
"1313","#33383","Dirt","Feb 28, 2018 at 7:45 PM",0,9230071,0,"Mar 2, 2016",2,0
"1314","#33384","UrbanComposition","Feb 28, 2018 at 8:16 PM",0,9230141,1,"Aug 6, 2010",NA,-1
"1315","#33385","jet","Feb 28, 2018 at 8:35 PM",0,9230173,0,"Jun 9, 2006",3,0
"1316","#33386","Dirt","Feb 28, 2018 at 8:42 PM",0,9230191,0,"Mar 2, 2016",1,0
"1317","#33387","UrbanComposition","Feb 28, 2018 at 8:48 PM",0,9230216,0,"Aug 6, 2010",NA,0
"1318","#33388","UrbanComposition","Feb 28, 2018 at 8:50 PM",1,9230220,0,"Aug 6, 2010",1,1
"1319","#33389","beepbop","Mar 1, 2018 at 5:10 AM",0,9230588,0,"Aug 11, 2014",45,0
"1320","#33390","WBaker","Mar 1, 2018 at 9:19 AM",0,9230861,0,"Jan 5, 2010",NA,0
"1321","#33391","double00","Mar 1, 2018 at 9:39 AM",0,9230894,1,"Nov 24, 2014",NA,-1
"1322","#33392","thefoxtooth","Mar 1, 2018 at 10:14 AM",0,9230946,1,"Jan 3, 2013",5,-1
"1323","#33393","thefoxtooth","Mar 1, 2018 at 10:22 AM",0,9230959,0,"Jan 3, 2013",NA,0
"1324","#33394","WBaker","Mar 1, 2018 at 1:07 PM",1,9231227,0,"Jan 5, 2010",NA,1
"1325","#33395","kindofyoung","Mar 1, 2018 at 1:25 PM",0,9231256,1,"Jan 30, 2012",18,-1
"1326","#33396","nahneun","Mar 1, 2018 at 1:31 PM",0,9231262,1,"Feb 25, 2009",7,-1
"1327","#33397","notwithit","Mar 1, 2018 at 2:17 PM",0,9231299,0,"Mar 2, 2010",2,0
"1328","#33398","Tabooku","Mar 1, 2018 at 3:15 PM",1,9231355,0,"Oct 25, 2015",NA,1
"1329","#33399","baltimoron","Mar 1, 2018 at 3:26 PM",0,9231368,0,"Jan 14, 2012",34,0
"1330","#33400","gettoasty","Mar 1, 2018 at 3:32 PM",0,9231375,0,"Feb 8, 2010",1,0
"1331","#33401","giand","Mar 1, 2018 at 4:46 PM",0,9231445,0,"Jul 11, 2017",NA,0
"1332","#33402","Zassiliss","Mar 1, 2018 at 6:02 PM",0,9231580,0,"Apr 27, 2010",1,0
"1333","#33403","verver","Mar 1, 2018 at 6:30 PM",0,9231661,0,"Jul 9, 2006",NA,0
"1334","#33404","double00","Mar 1, 2018 at 6:52 PM",0,9231712,1,"Nov 24, 2014",NA,-1
"1335","#33405","Dr Huh?","Mar 1, 2018 at 7:03 PM",0,9231735,0,"Mar 14, 2009",1,0
"1336","#33406","penanceroyaltea","Mar 2, 2018 at 2:31 AM",0,9232203,1,"Jan 27, 2012",50,-1
"1337","#33407","Purplelabel","Mar 2, 2018 at 2:37 AM",0,9232211,0,"Jan 18, 2014",1,0
"1338","#33408","Dirt","Mar 2, 2018 at 6:08 AM",1,9232346,0,"Mar 2, 2016",NA,1
"1339","#33409","Hugo Slime","Mar 2, 2018 at 6:33 AM",1,9232380,0,"Jan 3, 2018",8,1
"1340","#33410","Cotton Dockers","Mar 2, 2018 at 11:04 AM",1,9232787,0,"Nov 23, 2011",28,1
"1341","#33411","sssuhr","Mar 2, 2018 at 11:28 AM",0,9232827,1,"Mar 22, 2017",40,-1
"1342","#33412","Baron","Mar 2, 2018 at 11:36 AM",1,9232837,0,"Oct 5, 2004",NA,1
"1343","#33413","e0d9n0b5","Mar 2, 2018 at 12:19 PM",0,9232891,1,"May 21, 2010",33,-1
"1344","#33414","Cotton Dockers","Mar 2, 2018 at 12:30 PM",0,9232909,0,"Nov 23, 2011",3,0
"1345","#33415","hennree","Mar 2, 2018 at 12:41 PM",1,9232922,0,"Jan 29, 2012",NA,1
"1346","#33416","ShoutOutsFoMyBo","Mar 2, 2018 at 12:55 PM",1,9232953,0,"May 13, 2012",38,1
"1347","#33417","WBaker","Mar 2, 2018 at 1:55 PM",0,9233031,0,"Jan 5, 2010",2,0
"1348","#33418","Eyealt","Mar 2, 2018 at 2:29 PM",0,9233075,1,"Jul 19, 2015",1,-1
"1349","#33419","innerpiece","Mar 2, 2018 at 2:47 PM",0,9233092,1,"Jan 13, 2014",3,-1
"1350","#33420","ethanm","Mar 3, 2018 at 1:18 AM",0,9233778,0,"Oct 22, 2011",3,0
"1351","#33421","MrUnderwood","Mar 3, 2018 at 1:41 AM",0,9233786,1,"May 28, 2017",NA,-1
"1352","#33422","oulipien","Mar 3, 2018 at 10:33 AM",1,9234152,0,"Dec 29, 2015",2,1
"1353","#33423","bleakhaven","Mar 3, 2018 at 11:17 AM",0,9234218,0,"Feb 27, 2018",5,0
"1354","#33424","WBaker","Mar 3, 2018 at 3:01 PM",0,9234507,1,"Jan 5, 2010",NA,-1
"1355","#33425","UserName84","Mar 3, 2018 at 3:13 PM",0,9234517,0,"Mar 23, 2008",5,0
"1356","#33426","the shah","Mar 3, 2018 at 3:15 PM",1,9234518,1,"Jun 2, 2008",18,0
"1357","#33427","Dr Huh?","Mar 3, 2018 at 3:37 PM",1,9234534,0,"Mar 14, 2009",NA,1
"1358","#33428","penanceroyaltea","Mar 3, 2018 at 5:02 PM",0,9234614,1,"Jan 27, 2012",53,-1
"1359","#33429","noob in 89","Mar 3, 2018 at 5:50 PM",1,9234658,0,"Dec 28, 2010",3,1
"1360","#33430","AlexWoodruff","Mar 3, 2018 at 7:49 PM",1,9234763,0,"Jan 28, 2018",2,1
"1361","#33431","kbadgley84","Mar 3, 2018 at 8:33 PM",0,9234806,1,"Feb 3, 2014",1,-1
"1362","#33432","Veremund","Mar 4, 2018 at 1:12 AM",0,9234934,1,"May 31, 2009",NA,-1
"1363","#33433","IEG","Mar 4, 2018 at 6:34 AM",1,9235089,0,"Jan 11, 2018",NA,1
"1364","#33434","Darkside","Mar 4, 2018 at 8:32 AM",0,9235180,1,"Jan 14, 2014",27,-1
